Date,Open,High,Low,Close,Adj Close,Volume
2020-02-19,9.750000,9.900000,9.750000,9.800000,9.800000,3443733
2020-02-20,9.800000,9.800000,9.700000,9.700000,9.700000,2764977
2020-02-24,9.700000,9.700000,9.550000,9.550000,9.550000,3583429
2020-02-25,9.600000,9.650000,9.500000,9.550000,9.550000,3239634
2020-02-26,9.500000,9.550000,9.450000,9.450000,9.450000,3336190
2020-02-27,9.500000,9.750000,9.400000,9.600000,9.600000,3634407
2020-02-28,9.450000,9.550000,9.250000,9.250000,9.250000,5110839
2020-03-02,9.400000,9.450000,8.850000,9.000000,9.000000,6395406
2020-03-03,9.050000,9.150000,8.850000,8.850000,8.850000,4719019
2020-03-04,8.950000,9.300000,8.900000,9.000000,9.000000,6467793
2020-03-05,9.050000,9.150000,8.900000,8.950000,8.950000,5927246
2020-03-06,8.800000,8.800000,8.400000,8.500000,8.500000,9398483
2020-03-09,8.350000,8.400000,7.400000,7.500000,7.500000,20649869
2020-03-11,7.550000,8.150000,7.550000,7.900000,7.900000,9185144
2020-03-12,7.650000,7.650000,7.100000,7.200000,7.200000,12481276
2020-03-13,6.650000,7.300000,6.250000,6.900000,6.900000,30376993
2020-03-16,6.800000,6.800000,6.350000,6.400000,6.400000,15498300
2020-03-17,6.400000,6.750000,6.100000,6.250000,6.250000,18445140
2020-03-18,6.400000,6.450000,5.900000,5.950000,5.950000,23476037
2020-03-19,5.900000,5.900000,5.400000,5.450000,5.450000,20652275
2020-03-20,5.600000,5.750000,5.400000,5.650000,5.650000,25396366
2020-03-23,5.200000,5.300000,4.800000,4.950000,4.950000,20384285
2020-03-24,5.100000,5.150000,4.850000,5.000000,5.000000,9722581
2020-03-25,5.000000,5.100000,4.900000,5.050000,5.050000,7761692
2020-03-26,5.100000,5.500000,5.050000,5.350000,5.350000,13577878
2020-03-27,5.450000,5.850000,5.450000,5.600000,5.600000,15786727
2020-03-30,5.600000,5.600000,5.400000,5.450000,5.450000,6327220
2020-03-31,5.550000,5.800000,5.400000,5.700000,5.700000,8308817
2020-04-01,5.700000,5.800000,5.500000,5.750000,5.750000,5294183
2020-04-03,5.750000,5.850000,5.650000,5.700000,5.700000,5608330
2020-04-07,5.950000,6.000000,5.800000,5.900000,5.900000,8583704
2020-04-08,5.900000,6.100000,5.800000,5.900000,5.900000,9576211
2020-04-09,6.000000,6.050000,5.800000,5.900000,5.900000,9866110
2020-04-13,5.900000,6.050000,5.750000,5.900000,5.900000,5208441
2020-04-15,6.000000,6.150000,5.750000,5.800000,5.800000,17085202
2020-04-16,5.800000,5.950000,5.800000,5.900000,5.900000,5738564
2020-04-17,6.050000,6.150000,5.800000,5.900000,5.900000,17322403
2020-04-20,5.950000,6.550000,5.950000,6.050000,6.050000,40280341
2020-04-21,6.000000,6.050000,5.850000,5.900000,5.900000,15852349
2020-04-22,5.900000,6.000000,5.800000,5.950000,5.950000,6471855
2020-04-23,6.000000,6.100000,5.950000,6.050000,6.050000,6661845
2020-04-24,6.000000,6.000000,5.750000,5.800000,5.800000,11172661
2020-04-27,5.900000,5.950000,5.800000,5.800000,5.800000,7887517
2020-04-28,5.900000,5.900000,5.750000,5.800000,5.800000,8583682
2020-04-29,5.800000,5.850000,5.750000,5.800000,5.800000,5636979
2020-04-30,5.900000,6.000000,5.850000,5.900000,5.900000,15489940
2020-05-04,5.850000,5.900000,5.650000,5.700000,5.700000,10716522
2020-05-05,5.800000,5.800000,5.600000,5.600000,5.600000,7127535
2020-05-06,5.650000,5.650000,5.350000,5.500000,5.500000,12385382
2020-05-07,5.500000,5.650000,5.450000,5.600000,5.600000,5611938
2020-05-08,5.650000,5.700000,5.500000,5.550000,5.550000,4626063
2020-05-11,5.600000,5.650000,5.300000,5.350000,5.350000,15627119
2020-05-12,5.350000,5.400000,5.200000,5.350000,5.350000,6957231
2020-05-13,5.550000,5.700000,5.450000,5.500000,5.500000,10122279
2020-05-14,5.500000,5.550000,5.400000,5.500000,5.500000,5195504
2020-05-15,5.500000,5.550000,5.150000,5.300000,5.300000,17667701
2020-05-18,5.300000,5.350000,5.100000,5.150000,5.150000,9765359
